"comment","labels"
"recognizes some people are full power--self-directed and highly motivated--and does not burden them with non-customer focused administrative tasks.","['appreciation']"
"recognizes some people are full power--self-directed and highly motivated--and does not burden them with non-customer focused administrative tasks.","['appreciation']"
"stress on staff nurses to keep up with all changes.  the change in type of patients/famalies that present to hospital that have little respect for staff.  frustration felt to keep satisfaction scores up when you give your all and numbers are still low and you are made to feel guilty for scores.","['appreciation']"
"what is more meaningful to me is when the patients/family just thanks us for what we do. this is a very regarding job.","['appreciation']"
"lack of appreciation by many of our patients/families - we try so hard to give good care - ","['appreciation']"
"my longevity with organization, dedication and respect of health care/patients and community.","['appreciation']"
"serving those who served and the va reminds us how important it is to serve those who have served us with putting our best foot forward and providing the dignity and respect that all of our patients/veterans deserve","['appreciation']"
"they hire qualified  people who honor these morals and values that can help patients/residents.  ","['appreciation']"
"this is an academic institution, not a for-profit organization.  although funds and funding must always be considered, it would be nice to see more of an emphasis placed on ethics, values, and respect for patients/research subjects. ","['appreciation']"
"i believe the values at summa health system start at tom strauss and trickle down to everyone from there.  people here are friendly and say hello to strangers/patients and ask if they need assistance.  they are helpful, kind and caring and i like being part of that type of work environment.    ","['appreciation']"
"everyone respects each other's values  and ethics from between coworkers.. to employees and  their patients..  excellent respect for boundaries personally and professionally. ","['appreciation']"
"little things like verbal thanks from managers/leaders for a job well done, e-mails from those throughout the organization i've worked with on writing stories and from patients/families i've interviewed for stories.","['appreciation']"
"the values seem to only be warranted for patients/families but not for staff","['appreciation']"
"putting our patients/members as the focal point around everything we do. thank you phs!","['appreciation']"
"my appreciation comes from making our patients/families experience great; making them feel valued.  ","['appreciation']"
"1 shortage of nursing staff to meet the needs of homecare and hospice patients.2 staff overwhelmed with workload and job expectations as we are tasked to operate more efficiently. 3 not enough time to do fun things with staff to show appreciation for their hard work. ","['appreciation']"
"by following the rite core values and listening to their staff/patients.","['appreciation']"
"probably discouragement / not feeling valued - there is a lot of building going on which is improving other areas, and nurses/patients endure the associated noise and inconveniences. however, it seems the medicine units are last on the list for even a refresher.  ","['appreciation']"
"thr prevents negativity by promoting and upholding the promise values and presenting educational classes about handling workplace violence, both lateral and from patients/families.  ","['appreciation']"
"more recognition for job well done or when we break a record for the amount of outreach patients/tubes drawn.  this job is extremely stressful at times and it has been brought to our attention in the past that not many within the corporate area are even aware of our existence.  ","['appreciation']"
"being told i'm performimg well at my job, superstar commendations, raises, appreciation from families and patients/residents.","['appreciation']"
"recognition of any kind for helping with ot, or compliments from patients/co-workers.","['appreciation']"
"that the values are unwavering.  regardless of race, religion, financial or social status, everyone from the patients/families to the staff are treated with the utmost respect. ","['appreciation']"
"recognition from coworkers & patients/families","['appreciation']"
"ethics and values_x000D_
making a difference to patients/families_x000D_
great reputation in the community","['appreciation']"
"since jefferson, i feel in a unique way its values, traditions and a good outlook for the employees/patients. ","['appreciation']"
"keeping a positive attitude & showing a deal of respect for our clients/patients.
it matters to provide quality care along w/hospitality that is shown throughout the company as a whole & greatly appreciated by various skilled performance.  ","['appreciation']"
"having letters of appreciation from patients/families shared with staff on a regular basis.","['appreciation']"
"*uneven distribution of work amongst reliable staff v. unreliable staff_x000D_
*more demand than work flow can support_x000D_
*no recognition unless its bringing in more money or positive publicity_x000D_
*patients are not held accountable for negative actions in office_x000D_
*staff in senior/managerial positions are not held accountable ","['appreciation']"
"sshs encourages its people to share their ideas for ways to continually improve how we serve our patients/families everyday, and appreciates when these ideas are shared. diversity is embraced, and the feeling of family is palpable. ","['appreciation']"
"that we are one big happy family and treat everyone/patients with respect","['appreciation']"
"i consider it a job well done when we receive thanks from our patients/families; then i know we are doing something well.","['appreciation']"
"ultimately, we are all here for the residents/patients.  although i think some working conditions could be better (e.g., more staff needed per shift, more time needed for patient care), it is the caring employees who, no matter what,  treat the residents/patients with dignity and respect. ","['appreciation']"
"helping patients-core values","['appreciation']"
"*uneven distribution of work amongst reliable staff v. unreliable staff_x000D_
*more demand than work flow can support_x000D_
*no recognition unless its bringing in more money or positive publicity_x000D_
*patients are not held accountable for negative actions in office_x000D_
*staff in senior/managerial positions are not held accountable ","['appreciation']"
"my patients/ other staff saying thank you_x000D_
nancy cook","['appreciation']"
"verbal/email recognition by patients/patient's family or staff. dr. benz is always excellent at relaying his gratitude for the work we do as well. ","['appreciation']"
"a little thank you goes a  long way in making the employees feel like they are doing a good job.  there are birthday celebrations, a picnic, and christmas party, but there should be things done throughout the year to recognize employees.  giving a small token such as a gift card goes a long way in knowing you are appreciated throughout the year.  there are some employees who go above and beyond for the patients-this is never recognized.","['appreciation']"
"i would like to be appreciated when i have gone the extra mile to improve work conditions. often times i am trying to support my staff by implementing policy and procedures for the good of the staff/patients and then cmi dismisses the importance of change. ","['appreciation']"
"leads tendercare with a very strong code of ethics, morals, and treats all employees with respect.  it is quite obvious that leslie truly loves her employees and patients/families!","['appreciation']"
"the postitive reinforcement from patients/other staff that they appreciate the work you do.","['appreciation']"
"everyone takes ethics and values of the center very seriously and we protect our patients/participants from any breach in confidentiality.","['appreciation']"
"when customers/patients tell me i do a good job and they appreciate me","['appreciation']"
"respect from my patients/families and coworkers pertaining to my professional expertise.   ","['appreciation']"
"the job i do for patients/families. recognition and respect for the role i play.","['appreciation']"
"nothing from management.. the occasional thank you from the clients/patients... is what makes one feel appreciated","['appreciation']"
"recognition from managers, coworkers  and patients/families","['appreciation']"
"when we are recognized by patients/families/the community for the good work that we do.  it makes me feel appreciated and reinforces that we are doing the right work. ","['appreciation']"
"when other coworkers or patients/families appreciate the things i do for them or thank me","['appreciation']"
"when families/patients show they care and thank me for my work with their children. ","['appreciation']"
"simple ""thank you"" from patients/staff_x000D_
","['appreciation']"
"when patients'come in they are streesed not knowing what to expect. we reassure them that they will get the best care possible. after there care they express there gratitude towards the staff with a smile.","['appreciation']"
"values community of cook's to include patients/families/employees","['appreciation']"
"allowing certain mds to treat nurses/patients without respect - should not be tolerated._x000D_
allowing the residents more freedom to treat than should be allowed without proper supervision","['appreciation']"
"every employee i have talked with here values the patients/families, but many employees are 'glass half empty' with their attitudes and thinking toward ach as an employer and re: their co-workers/job demands - it is so petty and unnecessary. mgmt should work grassroots within each dept to make these individuals feel unique and special and perhaps their negativity would improve....or better personality analyzing before hire (or both :)","['appreciation']"
"helping those in need come to terms with there current situation. letting them know they are not alone that journeycare is there to support them. at the end of each visit i cherish the compliments and the look of relieve of patients/families. ","['appreciation']"
"more advertising , patient involvement , community activities involving co-workers and patients/community. more patient days at our home offices so we dont have to travel so far to work.allowing us to have more hours /ot ,annual raises. reevaluation for deserved raises ,employee appreciation","['appreciation']"
"individuals staff - who despite multiple complaints to supervisor- continue to  treat others staff  and patients- with lack of respect, making constant critcisms and demeaning statements to them. hope this gets resolved","['appreciation']"
"i think everyone at trihealth tries their best to treat all the patients/visitors with respect, kindess, honesty and integrity.","['appreciation']"
"it seems, in regards to building/departmental renovations the managers are concentrating on the ""look"" i've heard comments such as ""we want it to be spa like""  although i believe it does make an impression, i feel the funtion or convenience to the patients/visitors is sometimes not given enough consideration compared to ""the look""","['appreciation']"
"they want everyone to treat patients/clients with kindness and respect which is great, but it doesn't always happen and no one seems to be looking at why it might not be happening. ","['appreciation']"
"work independently,great providers to work with, great patients.care here is a great company to work for. they have the best core values and really have the patient's care at heart.","['appreciation']"
"more appreciated less judemetal staff towards and also towards patients/customers.","['appreciation']"
"the thank you,s from patients/families   ","['appreciation']"
"recognition for projects completed or going above and beyond when helping staff members as well as clients/patients","['appreciation']"
"being called an enterprise does nothing to recognize humans/patients","['appreciation']"
"she's always showing her appreciation to all employees.she expresses her love and care on behalf on the patients/families here at scottish rite. a very great supporter.","['appreciation']"
"positive outcomes, patients/families that appreciate your hard work","['appreciation']"
"seeing our core values followed resulting in a positive experiences for patients/families.","['appreciation']"
"being told my patients/families, the physician i work with and my manager appreciate the work i do and that they can see i really try my best at all i do on a daily basis. ","['appreciation']"
"i think the residents/patients appreciate the work i do.","['appreciation']"
"cultural and values align with mine specific to service implementation and care of clients/patients/consumers. ","['appreciation']"
"i love that its all about the patients/customers. it is also very family oriented which is something that i love because i am very family oriented. also they practice good humble values and ethics and i really like that. ","['appreciation']"
"they hire qualified  people who honor these morals and values that can help patients/residents.  ","['appreciation']"
"they allow the patients/patrons to feel comfortable knowing that they respect the beliefs and lifestyle of all who come here.","['appreciation']"
"some employees do not respect employees and patients..this is a health care organization    we should have raises and cost of living   some employees haven't been compensated in nearly 5 years","['appreciation']"
"doctors not wanting to do their jobs (enter their own orders, write them correctly, have difficult conversations with patients/families, etc.)   when changes need to take place there is much resistance from a fair number of them; they hinder the changes nurses are required to make.  i have noticed that they can evaluate nursing by units, but- as their co-workers, when do we get to evaluate them?","['appreciation']"
"when you feel you are not being heard with your concerns about your department. not having enough staff for in-patient that we in the emergency department must take in-patients and go on diversion.","['appreciation']"
"that employees are valued as much as patients/members","['appreciation']"
"above. all staff need to have and show respect for each other and patients.also, i do not like the feeling i may have to stay an additional shift for  poor staffing/ planning. i have i life too.","['appreciation']"
"the patients-they have smiles on their faces and say thanks. my coworkers tell me on a regular basis that they appreciate my hard work that i give them and like working with me.","['appreciation']"
"knowing my performance is valued, with ability to see a greater range of problems/patients","['appreciation']"
